Handle,Url,TwitterName,Type,Party,PartyColor1,PartyColor2,PartyID,Website
@AlternativeUnge,https://twitter.com/AlternativeUnge,Alternativets Unge,Ungdomsparti,Alternativet,"""#00BE00""","""#000000""",Å,https://alternativetsunge.dk/
@alternativet_,https://twitter.com/alternativet_,Alternativet,Parti,Alternativet,"""#00BE00""","""#000000""",Å,https://alternativet.dk/
@uffeelbaek,https://twitter.com/uffeelbaek,Uffe Elbæk,MF,Alternativet,"""#00BE00""","""#000000""",Å,
@TorstenGejl,https://twitter.com/TorstenGejl,Torsten Gejl,MF,Alternativet,"""#00BE00""","""#000000""",Å,
@FranciskaRosenk,https://twitter.com/FranciskaRosenk,Franciska Rosenkilde,Leder,Alternativet,"""#00BE00""","""#000000""",Å,
@martinbornholm,https://twitter.com/martinbornholm,AlternativeMartin,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@simon_nyborg,https://twitter.com/simon_nyborg,Simon Nyborg Jensen,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@martin78,https://twitter.com/martin78,Martin Kjærulff (Å),Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@Kophod,https://twitter.com/Kophod,Ole Dupont Kofod,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@LindaFrlundHan1,https://twitter.com/LindaFrlundHan1,Linda Frølund Hansen,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@tcjakobsen,https://twitter.com/tcjakobsen,Troels Chr. Jakobsen (Å),Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@OlumekoC,https://twitter.com/OlumekoC,Christina Olumeko (Å),Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@JonathanRies_,https://twitter.com/JonathanRies_,Jonathan Ries (Å),Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@HolstKehler,https://twitter.com/HolstKehler,Birgitte Kehler Holst,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@SuperSejeJanK,https://twitter.com/SuperSejeJanK,Jan Kristoffersen (Å),Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@MetteBram,https://twitter.com/MetteBram,Mette Kaasfeldt Bram,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@noahsturis,https://twitter.com/noahsturis,Noah Sturis,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@MartinsAnnika,https://twitter.com/MartinsAnnika,Annika Martins (Å),Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@kimhjerrild,https://twitter.com/kimhjerrild,"Kim Hjerrild (Å) - FT-kandidat, tidl. BR-medlem mm",Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@LarsCorvinius,https://twitter.com/LarsCorvinius,Lars Corvinius Olesen,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@belbooks,https://twitter.com/belbooks,Irina Bjørnø,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@jespercallesen,https://twitter.com/jespercallesen,jesper C,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@SofieGroth1,https://twitter.com/SofieGroth1,Sofie Groth,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@qasamnahmad,https://twitter.com/qasamnahmad,Qasam Nazir Ahmad,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@stine_isaksen,https://twitter.com/stine_isaksen,Stine Isaksen (Å),Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@hcmolbech,https://twitter.com/hcmolbech,HC Molbech,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@FogedRasmus,https://twitter.com/FogedRasmus,Rasmus Foged,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@holstein_lars,https://twitter.com/holstein_lars,Lars Holstein,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@plaetner,https://twitter.com/plaetner,Joachim P. Kjeldsen,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@Ajsecobranding,https://twitter.com/Ajsecobranding,Anette Jensen Smith,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@MhbLarsson,https://twitter.com/MhbLarsson,Mikkel Høj Bagger Larsson,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@JefSeistrup,https://twitter.com/JefSeistrup,jef seistrup,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@protein_of,https://twitter.com/protein_of,Nicklas Gjedsig - Alternativet,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@JewkesAndrew,https://twitter.com/JewkesAndrew,Mark Andrew Jewkes,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@claraw0lf,https://twitter.com/claraw0lf,Clara Wolf (Å),Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@HLiliendahl,https://twitter.com/HLiliendahl,Helene Liliendahl Brydensholt (Å),Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@AllonHSorensen,https://twitter.com/AllonHSorensen,Allon Hein Sørensen,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@NHOERUP,https://twitter.com/NHOERUP,Nanna Høyrup- Alternativet,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@NHakmann,https://twitter.com/NHakmann,Nicklas Hakmann,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@morten_greve,https://twitter.com/morten_greve,Morten Greve,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@KKockii,https://twitter.com/KKockii,Kirsten Kock,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@JanAllanAnders1,https://twitter.com/JanAllanAnders1,Jan Allan Andersen (Å),Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@UMunksgaard,https://twitter.com/UMunksgaard,Ulla Munksgaard,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@LRotfeldVGPT,https://twitter.com/LRotfeldVGPT,Liselotte Katarina Rotfeld - Veganerpartiet,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@mmonberg,https://twitter.com/mmonberg,Michael Monberg - Alternativet,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@LineGessoe,https://twitter.com/LineGessoe,Line Gessø Hansen,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@nilasnilas,https://twitter.com/nilasnilas,Nilas Bay-Foged (Å),Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@hfonsboel,https://twitter.com/hfonsboel,Hans Biering Fonsbøl,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@BenjaminStran,https://twitter.com/BenjaminStran,Benjamin Strand Andersen,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@lipula,https://twitter.com/lipula,Ane Line Søndergaard,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@nikoline2b,https://twitter.com/nikoline2b,Nikoline Erbs,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@BlochMira,https://twitter.com/BlochMira,Mira Issa Bloch,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@line_aaen,https://twitter.com/line_aaen,"Line Aaen ,- Alternativet",Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@Cborup2,https://twitter.com/Cborup2,CARSTEN BORUP,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@HWium,https://twitter.com/HWium,Helle Wium,Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@Mads5408,https://twitter.com/Mads5408,Mads Damgaard Mortensen (Å),Folketingskandidat,Alternativet,"""#00BE00""","""#000000""",Å,
@skaarup_peter,https://twitter.com/skaarup_peter,Peter Skaarup,MF,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@AdsbolAdsbl,https://twitter.com/AdsbolAdsbl,Karina Adsbøl,MF,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@LiseBech,https://twitter.com/LiseBech,Lise Bech,MF,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@BentGsted,https://twitter.com/BentGsted,Bent Bøgsted,MF,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@JThulesen,https://twitter.com/JThulesen,J H Thulesen Dahl,MF,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@EspersenSoren,https://twitter.com/EspersenSoren,Søren Espersen,MF,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@flydtkjaer,https://twitter.com/flydtkjaer,Dennis Flydtkjær,MF,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@Hans_Kr_Skibby,https://twitter.com/Hans_Kr_Skibby,Hans Kristian Skibby,MF,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@skaarup_peter,https://twitter.com/skaarup_peter,Peter Skaarup,MF,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@BetinaKastbjerg,https://twitter.com/BetinaKastbjerg,Betina Kastbjerg,Folketingskandidat,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@UKnudsen,https://twitter.com/UKnudsen,Ulrik Knudsen,Folketingskandidat,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@KennethFredslu1,https://twitter.com/KennethFredslu1,Kenneth Fredslund Petersen,Folketingskandidat,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@SusieJessen,https://twitter.com/SusieJessen,Susie Jessen,Folketingskandidat,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@mharpsoe,https://twitter.com/mharpsoe,Marlene Harpsøe,Folketingskandidat,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@MetteQwinten,https://twitter.com/MetteQwinten,Mette Qwinten,Folketingskandidat,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@GisselmannOlsen,https://twitter.com/GisselmannOlsen,Claus Gisselmann - Danmarksdemokraterne,Folketingskandidat,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@VibekeBr,https://twitter.com/VibekeBr,Vibeke Brønnum,Folketingskandidat,Danmarksdemokraterne,"""#1171C2""","""#CE142B""",Æ,
@DFUngdom,https://twitter.com/DFUngdom,Dansk Folkepartis Ungdom,Ungdomsparti,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@DanskDf1995,https://twitter.com/DanskDf1995,Dansk Folkeparti,Parti,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@ReneChr67108814,https://twitter.com/ReneChr67108814,Rene’ Christensen,MF,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@Eilersen_DF,https://twitter.com/Eilersen_DF,Susanne Eilersen,MF,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@Pia_Kjaersgaard,https://twitter.com/Pia_Kjaersgaard,Pia Kjærsgaard,MF,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@MrMesserschmidt,https://twitter.com/MrMesserschmidt,Morten Messerschmidt,Leder,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@KofodPeter,https://twitter.com/KofodPeter,Peter Kofod(DF),Folketingskandidat,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@nanaharring,https://twitter.com/nanaharring,Nana Harring,Folketingskandidat,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@BirkholmDF,https://twitter.com/BirkholmDF,Majbritt Birkholm Dansk Folkeparti,Folketingskandidat,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@DanielssonRene,https://twitter.com/DanielssonRene,Rene Danielsson,Folketingskandidat,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@JannieBoegh,https://twitter.com/JannieBoegh,Jannie Bøgh,Folketingskandidat,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@Kristensenberth,https://twitter.com/Kristensenberth,Kenneth K. Berth,Folketingskandidat,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@MereteDea,https://twitter.com/MereteDea,Merete Dea Larsen,Folketingskandidat,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
@Cecilie_WK,https://twitter.com/Cecilie_WK,Cecilie Winther Kristensen,Folketingskandidat,Dansk Folkeparti,"""#0B5A8C""","""#CE142B""",O,
